AIR
AMBUSH
AMMUNITION
ARM
ARMED
ARMISTICE
ARMY
ARROW
BATTLE
BLOCKADE
BOMB
BOW
CANNON
CASTLE
CAVALRY
CIVIL
CLUB
COLONEL
COMMANDER
CORPORAL
CORPS
COUP
DESTROYER
DISCHARGE#1
DRAFT#1
FIGHT#1
FLEET
FORCE#2
FORT
GENERAL
GRENADE
GUARD
GUERRILLA
GUN
INFANTRY
INTERVENTION
LEGION#1
LIEUTENANT
MARCH#2
MARCHER
MILITARY
MILITIA
MINE#3
MINUTEMEN
MISSILE
MUNITION
NAVAL
NAVY
PARACHUTER
PARADE
PATROL
PENTAGON
PISTOL
PRIVATE
RADAR
REBELLION
RECRUIT
REGIMENT
RETREAT
RIFLE
ROCKET
SERGEANT
SERVICE
SHELL
SOLDIER
SPEAR
STRONGHOLD
SUBMARINE
SURRENDER
SWORD
TNT
TRIGGER
TROOP
VETERAN
WAR
WARFARE
WARRIOR
WEAPON
